Category,Metric,Meaning / Logic,SQL,Verified,Owner
Consigner Growth,%Signup start to signup success,"Of users who viewed the basic-details page, the share who reached the signup success bottomsheet.","SELECT COUNT(DISTINCT CASE WHEN screen_name = 'sign_up_expected_trip_count'
                            AND event_name  = 'v1_success_bottomsheet'
                           THEN user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT CASE WHEN screen_name = 'sign_up_basic_details'
                                   AND event_name  = 'v1_basic_details'
                                  THEN user_code END), 0)
FROM analytics.consigner_app_events_current_v2
WHERE event_action = 'view';",True,Ekta
Consigner Growth,%Retention,"Cxs with a first trip, who took ≥1 trip within 90 days of that acquisition date are retention base. 
Share of the qualified cohort that took a trip in a later 90-day bucket.","WITH acq AS (
    SELECT consigner_user_code,
           MIN(CASE WHEN trip_rank = 1 THEN latest_acq_time END)::date AS acq_date
    FROM fact_consigner_demands_lead_source GROUP BY 1
),
qualified AS (
    SELECT a.consigner_user_code, a.acq_date
    FROM acq a
    JOIN fact_consigner_demands_lead_source f
      ON f.consigner_user_code = a.consigner_user_code AND f.trip_flag = 1
     AND f.demand_date >= a.acq_date AND f.demand_date < a.acq_date + 90
    WHERE a.acq_date IS NOT NULL
    GROUP BY 1, 2
)
SELECT COUNT(DISTINCT CASE WHEN x.active = 1 THEN x.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT x.consigner_user_code), 0)
FROM (SELECT q.consigner_user_code, q.acq_date,
             MAX(CASE WHEN f.trip_flag = 1
                       AND f.demand_date >= q.acq_date + 181
                       AND f.demand_date <  q.acq_date + 271 THEN 1 ELSE 0 END) AS active
      FROM qualified q
      JOIN fact_consigner_demands_lead_source f
        ON f.consigner_user_code = q.consigner_user_code
      GROUP BY 1, 2) x
WHERE CURRENT_DATE >= x.acq_date + 271",True,Ekta
Consigner Growth,Penetration in Q3,Share of the qualified cohort that raised any demand in days 181–270. Same as %Retention but without the trip_flag condition.,"SELECT COUNT(DISTINCT CASE WHEN x.active = 1 THEN x.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT x.consigner_user_code), 0)
FROM (SELECT q.consigner_user_code, q.acq_date,
             MAX(CASE WHEN f.demand_date >= q.acq_date + 181
                       AND f.demand_date <  q.acq_date + 271 THEN 1 ELSE 0 END) AS active
      FROM qualified q
      JOIN fact_consigner_demands_lead_source f
        ON f.consigner_user_code = q.consigner_user_code
      GROUP BY 1, 2) x
WHERE CURRENT_DATE >= x.acq_date + 271;",True,Ekta
Consigner Growth,%Trip activeness,Share of the qualified cohort with ≥1 fulfilled trip in the bucket. Identical to %Retention.,"SELECT COUNT(DISTINCT CASE WHEN x.active = 1 THEN x.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT x.consigner_user_code), 0)
FROM (SELECT q.consigner_user_code, q.acq_date,
             MAX(CASE WHEN f.trip_flag = 1
                       AND f.demand_date >= q.acq_date + 181
                       AND f.demand_date <  q.acq_date + 271 THEN 1 ELSE 0 END) AS active
      FROM qualified q
      JOIN fact_consigner_demands_lead_source f
        ON f.consigner_user_code = q.consigner_user_code
      GROUP BY 1, 2) x
WHERE CURRENT_DATE >= x.acq_date + 271;",True,Ekta
Consigner Growth,%App activeness,"Share of the qualified cohort that logged in during the bucket. Uses login_date, so it measures app opens, not transactions.","SELECT COUNT(DISTINCT CASE WHEN x.active = 1 THEN x.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT x.consigner_user_code), 0)
FROM (SELECT q.consigner_user_code, q.acq_date,
             MAX(CASE WHEN f.login_date >= q.acq_date + 181
                       AND f.login_date <  q.acq_date + 271 THEN 1 ELSE 0 END) AS active
      FROM qualified q
      JOIN fact_consigner_demands_lead_source f
        ON f.consigner_user_code = q.consigner_user_code
      GROUP BY 1, 2) x
WHERE CURRENT_DATE >= x.acq_date + 271;",True,Ekta
Consigner Growth,%Demand activenss,"Share of the qualified cohort that raised ≥1 demand in the bucket, trip or not.","SELECT COUNT(DISTINCT CASE WHEN x.active = 1 THEN x.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT x.consigner_user_code), 0)
FROM (SELECT q.consigner_user_code, q.acq_date,
             MAX(CASE WHEN f.demand_date >= q.acq_date + 181
                       AND f.demand_date <  q.acq_date + 271 THEN 1 ELSE 0 END) AS active
      FROM qualified q
      JOIN fact_consigner_demands_lead_source f
        ON f.consigner_user_code = q.consigner_user_code
      GROUP BY 1, 2) x
WHERE CURRENT_DATE >= x.acq_date + 271;",True,Ekta
Consigner Growth,# Demands,"Aliases: # Cx Demands; Demand Volume; # CODVT Demands; # COD Demands; # Consigners with Demand.

Total demands raised by consigners. 
Same metric is shown at four grains on the Placement dashboard: Demand grain (COUNT DISTINCT demand_id), CODVT grain (codvt), COD grain (cod), and Consigner grain (consigner_user_code). Pick the grain that matches your question.","-- Demand grain (default):
SELECT COUNT(DISTINCT demand_id) FROM fact_consigner_demands_lead_source;

-- CODVT grain: SELECT COUNT(DISTINCT codvt) FROM ...
-- COD grain:   SELECT COUNT(DISTINCT cod) FROM ...
-- Cx grain:    SELECT COUNT(DISTINCT consigner_user_code) FROM ...",True,Ekta
Consigner Growth,# DRs,Demands with confirmed DR.,"SELECT COUNT(DISTINCT demand_id)
FROM fact_consigner_demands_lead_source
WHERE dr_flag = 1;

-- North Star regional cuts add:  AND demand_region = 'NCR'  (or 'ROI', or NOT IN ('NCR','ROI'))",True,Ekta
Consigner Growth,# Trips,"Aliases: # Fulfilled placements
Demands that got converted into trips . Same multi-grain logic as # Demands.","SELECT COUNT(DISTINCT demand_id)
FROM fact_consigner_demands_lead_source
WHERE trip_flag = 1;",True,Ekta
Consigner Growth,% Acceptance to Trip,% of accepted placements that converted into trips,"select demand_date, count(distinct case when accepted is not null and auto_cancelled is null and trip_flag = 1 then demand_id end)*1.0/nullif(count(distinct case when accepted is not null and auto_cancelled is null then demand_id end),0) as ""% Acceptance to Trip""
from (
        select a.*
                        , fc.accepted
                        , cx.auto_cancelled
                        , cx.demand_id as cancelled 
                        from mp_analytics_core.fact_consigner_demands_lead_source a 
                        left join (
                                select demand_id, max(gtl_time) as accepted
                                from mp_analytics_critical.fact_consignments
                                group by demand_id
                        ) fc on a.demand_id = fc.demand_id
                        
                        left join (
                                select demand_id, max(case when cancel_remarks = 'AUTO_CANCELLED_NO_ACTIVITY' then cancel_time end) as auto_cancelled
                                from mp_analytics_core.fact_consignment_cancellations
                                group by demand_id
                        ) cx on a.demand_id = cx.demand_id
                        
                        where plc_flag=1 
)
group by 1",True,Ekta
Consigner Growth,% Auto Placements,% placements that got placed through the Auto-placement engine,"SELECT
  COUNT(DISTINCT CASE WHEN plc_flag = 1 AND auto_plc = 'YES' THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN plc_flag = 1 THEN demand_id END), 0) AS pct_auto_plc
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% Auto Trips,% trips that got placed through the Auto-placement engine,"SELECT
  COUNT(DISTINCT CASE WHEN trip_flag = 1 AND auto_plc = 'YES' THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN trip_flag = 1 THEN demand_id END), 0) AS pct_auto_trips
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% Demand to DR,% Demands with confirmed DRs,"SELECT
  COUNT(DISTINCT CASE WHEN dr_flag = 1 THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT demand_id), 0) AS pct_demand_to_dr
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% Demand to Trip,%Demands that got converted into trips,"SELECT
  COUNT(DISTINCT CASE WHEN trip_flag = 1 THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT demand_id), 0) AS pct_demand_to_trip
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% DR Cancelled before Plc,% DR cancelled by consigner before placement,"WITH ss AS (
  select * 
        from(
                select 
                a.demand_id,
                a.sub_status,
                a.created_by,
                case when a.sub_status like 'DR%' then a.created end as dr_status_time,
                max(dr_status_time) over (partition by a.demand_id) as max_dr_status_time,
                lag(a.created) over (partition by a.demand_id order by a.created) as prev_created_time
                from mp_analytics_core.fact_demand_sub_status a
                where a.created >= '2025-10-01'
                ) a
        where prev_created_time = max_dr_status_time
)
select case when {{timeframe_type}} like 'DoD' then demand_date
                when {{timeframe_type}} like 'WoW' then demand_week
                when {{timeframe_type}} like 'MoM' then demand_month end as ""Day/Week/Month""
        , count(distinct case when plc_flag = 0 and reason='CX_cancelled' then demand_id end)*1.0/nullif(count(distinct case when dr_flag = 1 then demand_id end),0) as ""% DR(Cx Cancel)""

    from (
        select a.*
                , case when (b0.sub_status='CANCELLED' and b0.created_by!='consigner@wheelseye.com') or b0.sub_status in ('FREIGHT_PFC') then 'Vehicle_Not_Found' 
                              when b0.sub_status='CANCELLED' and b0.created_by='consigner@wheelseye.com' then 'CX_cancelled' end as reason   
        from mp_analytics_core.fact_consigner_demands_lead_source
                left join base0 b0 on a.demand_id=b0.demand_id 
        )       
    group by 1",True,Ekta
Consigner Growth,% DR to Plc,% DRs that got placed,"SELECT
  COUNT(DISTINCT CASE WHEN plc_flag = 1 THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN dr_flag = 1 THEN demand_id END), 0) AS pct_dr_to_plc
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% DR to Plc (≤ L2 and ≤ 90 min),% of DRs that got placed within 90 minutes of DR and at less than L2 price,"SELECT
  COUNT(DISTINCT CASE WHEN plc_flag = 1
                        AND base_price <= base_rate2
                        AND time_to_plc <= 90
                      THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN dr_flag = 1 THEN demand_id END), 0) AS pct_fast_cheap_plc
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% DR to Trip,% DRs that got converted into trips,"SELECT
  COUNT(DISTINCT CASE WHEN trip_flag = 1 THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN dr_flag = 1 THEN demand_id END), 0) AS pct_dr_to_trip
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% GTL Cancellations,% of placements cancelled post acceptance (ACCEPTED to CANCELLED state),"select 
case when {{timeframe_type}} like 'DoD' then demand_date
         when {{timeframe_type}} like 'WoW' then demand_week
         when {{timeframe_type}} like 'MoM' then demand_month end as ""Day/Week/Month""
, count(distinct case when accepted<cancelled then demand_id end)*1.0/nullif(count(distinct case when accepted is not null then demand_id end),0)as ""% Plc Accepted then cancelled""
from (
        select * from mp_analytics_core.fact_consigner_demands_lead_source a 
        left join (
                        select demand_id, min(gtl_time) as accepted
                        from mp_analytics_critical.fact_consignments
                        group by demand_id
                ) fc on a.demand_id = fc.demand_id
                
                left join (
                        select demand_id, min(cancel_time) as cancelled 
                        from mp_analytics_core.fact_consignment_cancellations
                        group by demand_id
                ) cx on a.demand_id = cx.demand_id
                
                where plc_flag=1
      )
group by 1",True,Ekta
Consigner Growth,% Placement Cancellations (<30 mins),% placements cancelled by consigner within 30 minutes of placement,"SELECT
  COUNT(DISTINCT CASE WHEN plc_flag = 1 AND trip_flag = 0
                        AND DATEDIFF('minute', last_plc_time, cx_plc_cancel_time) <= 30
                      THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN plc_flag = 1 AND trip_flag = 0 THEN demand_id END), 0) AS pct_quick_cancel
FROM mp_analytics_core.fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,% Plc to Acceptance,% of placements that were accepted by consigner (SCHEDULED to ACCEPTED state),"select 
case when {{timeframe_type}} like 'DoD' then demand_date
         when {{timeframe_type}} like 'WoW' then demand_week
         when {{timeframe_type}} like 'MoM' then demand_month end as ""Day/Week/Month""
, count(distinct case when accepted is not null then demand_id end)*1.0/nullif(count(distinct demand_id),0)as ""% Plc to accepted""
from (
		select a.*
		, fc.accepted
		, cx.auto_cancelled
		, cx.demand_id as cancelled 
		from mp_analytics_core.fact_consigner_demands_lead_source a 
		left join (
			select demand_id, max(gtl_time) as accepted
			from mp_analytics_critical.fact_consignments
			group by demand_id
		) fc on a.demand_id = fc.demand_id
		
		left join (
			select demand_id, max(case when cancel_remarks = 'AUTO_CANCELLED_NO_ACTIVITY' then cancel_time end) as auto_cancelled
			from mp_analytics_core.fact_consignment_cancellations
			group by demand_id
		) cx on a.demand_id = cx.demand_id
		
		where plc_flag=1
)
group by 1",True,Ekta
Consigner Growth,% Plc to Trip (Cx),%Placements that got converted into trips,"SELECT
  COUNT(DISTINCT CASE WHEN trip_flag = 1 THEN demand_id END) * 1.0
  / NULLIF(COUNT(DISTINCT CASE WHEN plc_flag = 1 THEN demand_id END), 0) AS pct_plc_to_trip
FROM fact_consigner_demands_lead_source;",True,Ekta
Consigner Growth,%App adoption,% Active consigners on app version,"SELECT
  count(DISTINCT case when WHEN cast(split_part(app_version,'.',1) as int)*10000
         + cast(split_part(app_version,'.',2) as int)*100
         + cast(split_part(app_version,'.',3) as int) >= 170109   -- For >17.1.9
      THEN user_code END) * 1.0 then user_code end) * 1.0
  / NULLIF(COUNT(DISTINCT user_code end), 0) AS perc_app_adoption
FROM mp_analytics_core.fact_cx_event_l3m
WHERE app_version IS NOT NULL AND app_version <> ''",True,Ekta
Consigner Growth,"CX Initiated, CX Induced GTL cancellation",% of accepted placements that got cancelled by Consigner and induced party was Consigner,"select demand_date, 
,count(distinct case when cx_initiated_cx_induced=1 then demand_id end)*1.0/nullif(count(distinct case when accepted=1 then demand_id end),0) as ""% cx_initiated_cx_induced""
from (
                select a.*, acc.accepted
                , case when acc.accepted = 1 and cxl.cx_cx = 1 then 1 else 0 end as cx_initiated_cx_induced
                , case when acc.accepted = 1 and cxl.cx_fo = 1 then 1 else 0 end as cx_initiated_fo_induced
                , case when acc.accepted = 1 and cxl.fo_fo = 1 then 1 else 0 end as fo_initiated_fo_induced
                , min(a.demand_date) over (partition by 1) as min_demand_date
                from mp_analytics_core.fact_consigner_demands_lead_source a 
                join (
                        select demand_id, max(case when gtl_time is not null then 1 else 0 end) as accepted
                        from mp_analytics_critical.fact_consignments
                        group by demand_id
                        ) acc on a.demand_id = acc.demand_id
                left join (
                        select demand_id
                        , max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Consigner' then 1 else 0 end) as cx_cx
                        , max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Operator'  then 1 else 0 end) as cx_fo
                        , max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Operator'  then 1 else 0 end) as fo_fo
                        , max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Consigner'  then 1 else 0 end) as fo_cx
                        from mp_analytics_core.fact_consignment_cancellations
                        group by demand_id
                        ) cxl on a.demand_id = cxl.demand_id
        )a
group by 1",True,Ekta
Consigner Growth,"CX Initiated, FO Induced GTL cancellation",% of accepted placements that got cancelled by Consigner and induced party was Operator,"select demand_date, 
 ,count(distinct case when cx_initiated_fo_induced=1 then demand_id end)*1.0/nullif(count(distinct case when accepted=1 then demand_id end),0) as ""% cx_initiated_fo_induced""
from (
		select a.*, acc.accepted
		, case when acc.accepted = 1 and cxl.cx_cx = 1 then 1 else 0 end as cx_initiated_cx_induced
		, case when acc.accepted = 1 and cxl.cx_fo = 1 then 1 else 0 end as cx_initiated_fo_induced
		, case when acc.accepted = 1 and cxl.fo_fo = 1 then 1 else 0 end as fo_initiated_fo_induced
		, min(a.demand_date) over (partition by 1) as min_demand_date
		from mp_analytics_core.fact_consigner_demands_lead_source a 
		join (
			select demand_id, max(case when gtl_time is not null then 1 else 0 end) as accepted
			from mp_analytics_critical.fact_consignments
			group by demand_id
			) acc on a.demand_id = acc.demand_id
		left join (
			select demand_id
			, max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Consigner' then 1 else 0 end) as cx_cx
			, max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Operator'  then 1 else 0 end) as cx_fo
			, max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Operator'  then 1 else 0 end) as fo_fo
			, max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Consigner'  then 1 else 0 end) as fo_cx
			from mp_analytics_core.fact_consignment_cancellations
			group by demand_id
			) cxl on a.demand_id = cxl.demand_id
        )a
group by 1",True,Ekta
Consigner Growth,"FO Initiated, FO Induced GTL cancellation",% of accepted placements that got cancelled by Operator and induced party was Operator,"select demand_date
 ,count(distinct case when fo_initiated_fo_induced=1 then demand_id end)*1.0/nullif(count(distinct case when accepted=1 then demand_id end),0) as ""% fo_initiated_fo_induced""
from (
                select a.*, acc.accepted
                , case when acc.accepted = 1 and cxl.cx_cx = 1 then 1 else 0 end as cx_initiated_cx_induced
                , case when acc.accepted = 1 and cxl.cx_fo = 1 then 1 else 0 end as cx_initiated_fo_induced
                , case when acc.accepted = 1 and cxl.fo_fo = 1 then 1 else 0 end as fo_initiated_fo_induced
                , min(a.demand_date) over (partition by 1) as min_demand_date
                from mp_analytics_core.fact_consigner_demands_lead_source a 
                join (
                        select demand_id, max(case when gtl_time is not null then 1 else 0 end) as accepted
                        from mp_analytics_critical.fact_consignments
                        group by demand_id
                        ) acc on a.demand_id = acc.demand_id
                left join (
                        select demand_id
                        , max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Consigner' then 1 else 0 end) as cx_cx
                        , max(case when cancelled_by in ('consigner@wheelseye.com','SYSTEM') and induced_party = 'Operator'  then 1 else 0 end) as cx_fo
                        , max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Operator'  then 1 else 0 end) as fo_fo
                        , max(case when cancelled_by = 'OPERATOR_APP'        and induced_party = 'Consigner'  then 1 else 0 end) as fo_cx
                        from mp_analytics_core.fact_consignment_cancellations
                        group by demand_id
                        ) cxl on a.demand_id = cxl.demand_id
        )a
group by 1",True,Ekta
Consigner Growth,Trips / Customer,Avg trips per trip active consigner,"SELECT
  sum(DISTINCT case when trip_flag=1 then demand_id end) * 1.0
  / NULLIF(COUNT(DISTINCT case when trip_flag=1 then customer_code end), 0) AS trips_per_cx
FROM analytics.fact_payment_summary
WHERE demand_status = 'FULFILLED';",True,Ekta
Consigner Growth,"Vehicle replacement post GTL Cancellation(Reason : CX Initiated,CX Induced)",% of post GTL cancellation that got re-placed (Cancellation by Consigner and induced party = Consigner),"with cx_cancel as (
    select demand_id, min(cancel_time) as cx_cancel_time
    from mp_analytics_core.fact_consignment_cancellations
    where cancelled_by in ('consigner@wheelseye.com','SYSTEM')
      and induced_party = 'Consigner'
    group by 1
),
acc as (
    select demand_id, max(case when gtl_time is not null then 1 else 0 end) as accepted
    from mp_analytics_critical.fact_consignments
    group by 1
),
repl as (
    select c.demand_id,
           max(case when f.consignment_time > c.cx_cancel_time then 1 else 0 end) as replaced
    from cx_cancel c
    join mp_analytics_critical.fact_consignments f on f.demand_id = c.demand_id
    group by 1
),
fo as (
    select c.demand_id,
           1 as backout,
           case when r.replaced = 1 then 1 else 0 end as conv
    from cx_cancel c
    join acc a on a.demand_id = c.demand_id and a.accepted = 1
    left join repl r on r.demand_id = c.demand_id
)
select
case when {{timeframe_type}} like 'DoD' then demand_date
	 when {{timeframe_type}} like 'WoW' then demand_week
	 when {{timeframe_type}} like 'MoM' then demand_month end as ""Day/Week/Month""
, count(distinct case when conv = 1 then demand_id end)*1.0
  / nullif(count(distinct case when backout = 1 then demand_id end),0) as ""% cx_init_cx_ind_replaced""
from (select *
	from (
		select a.*, fo.conv, fo.backout
		from mp_analytics_core.fact_consigner_demands_lead_source a
		join fo on a.demand_id = fo.demand_id
		)a
					)
group by 1,2",True,Ekta
Consigner Growth,%Acceptance to Trip,"Of placements the FO accepted and that were not auto-cancelled, the share that became a fulfilled trip.","SELECT COUNT(DISTINCT CASE WHEN accepted IS NOT NULL AND auto_cancelled IS NULL
                            AND trip_flag = 1 THEN demand_id END) * 1.0
     / NULLIF(COUNT(DISTINCT CASE WHEN accepted IS NOT NULL AND auto_cancelled IS NULL
                                  THEN demand_id END), 0)
FROM (SELECT a.demand_id, a.demand_date, a.trip_flag, fc.accepted, cx.auto_cancelled
      FROM fact_consigner_demands_lead_source a
      LEFT JOIN (SELECT demand_id, MAX(gtl_time) AS accepted
                 FROM mp_analytics_critical.fact_consignments GROUP BY 1) fc
             ON fc.demand_id = a.demand_id
      LEFT JOIN (SELECT demand_id,
                        MAX(CASE WHEN cancel_remarks = 'AUTO_CANCELLED_NO_ACTIVITY'
                                 THEN cancel_time END) AS auto_cancelled
                 FROM fact_consignment_cancellations GROUP BY 1) cx
             ON cx.demand_id = a.demand_id
      WHERE a.plc_flag = 1);",True,Ekta
Consigner Growth,% Trips with discount,Share of fulfilled trips carrying any discount.,"SELECT COUNT(CASE WHEN COALESCE(edpe_bonus,0) + COALESCE(fo_activation_bonus,0)
                     + COALESCE(middle_share_bonus,0)
                     + COALESCE(shipper_discount,0) - COALESCE(shipper_discount_reversal,0) > 0
                  THEN demand_id END) * 1.0
     / NULLIF(COUNT(demand_id), 0)
FROM mp_demand_details
WHERE status = 'FULFILLED' AND metadata_plt != 'true'
  AND customer_type ILIKE '%sme%' AND customer_flag = 'WE_Customer';",True,Ekta
Consigner Growth,Revenue,Consigner freight fare net of freight differences.,"SELECT SUM(consigner_freight_fare)
     - SUM(COALESCE(freight_difference,0) - COALESCE(freight_difference_reversal,0))
FROM mp_demand_details
WHERE status = 'FULFILLED' AND metadata_plt != 'true'
  AND customer_type ILIKE '%sme%' AND customer_flag = 'WE_Customer';",True,Ekta
